"Goals","factor","GF","KA","KP","LN","MDK","MP","TS","ZH"
"add at least $2000 to IRA account","Clarity",NA,NA,NA,4.66666666666667,NA,NA,5.6,NA
"add at least $2000 to IRA account","Consensus",NA,NA,NA,2.75,NA,NA,2.5,NA
"add at least $2000 to IRA account","External",NA,NA,NA,2.2,NA,NA,2.6,NA
"add at least $2000 to IRA account","Value",NA,NA,NA,3.11111111111111,NA,NA,4.66666666666667,NA
"advancing my career and increasing earnings","Clarity",NA,5.66666666666667,NA,NA,NA,3.16666666666667,NA,NA
"advancing my career and increasing earnings","Consensus",NA,3.25,NA,NA,NA,4,NA,NA
"advancing my career and increasing earnings","External",NA,4,NA,NA,NA,5.6,NA,NA
"advancing my career and increasing earnings","Value",NA,6,NA,NA,NA,6.22222222222222,NA,NA
"advocating for my eye surgery to be covered from my insurance company","Clarity",NA,4.75,3.16666666666667,NA,5.66666666666667,NA,NA,NA
"advocating for my eye surgery to be covered from my insurance company","Consensus",NA,3,3.25,NA,2,NA,NA,NA
"advocating for my eye surgery to be covered from my insurance company","External",NA,4,3.4,NA,5.6,NA,NA,NA
"advocating for my eye surgery to be covered from my insurance company","Value",NA,4.55555555555556,3.77777777777778,NA,4.33333333333333,NA,NA,NA
"after rehab continue to strenghten my shoulders","Clarity",5.33333333333333,NA,NA,NA,5.33333333333333,NA,NA,NA
"after rehab continue to strenghten my shoulders","Consensus",2.25,NA,NA,NA,2.25,NA,NA,NA
"after rehab continue to strenghten my shoulders","External",3.2,NA,NA,NA,4.2,NA,NA,NA
"after rehab continue to strenghten my shoulders","Value",2.55555555555556,NA,NA,NA,6,NA,NA,NA
"Another goal is to be financially independent in 5 years.","Clarity",4.5,NA,NA,NA,6.5,NA,NA,NA
"Another goal is to be financially independent in 5 years.","Consensus",4,NA,NA,NA,4.25,NA,NA,NA
"Another goal is to be financially independent in 5 years.","External",6.4,NA,NA,NA,5.4,NA,NA,NA
"Another goal is to be financially independent in 5 years.","Value",5.44444444444444,NA,NA,NA,6.22222222222222,NA,NA,NA
"Another goal is to move from Washington to Texas within the next three months.","Clarity",NA,NA,NA,NA,NA,3.83333333333333,NA,NA
"Another goal is to move from Washington to Texas within the next three months.","Consensus",NA,NA,NA,NA,NA,1.5,NA,NA
"Another goal is to move from Washington to Texas within the next three months.","External",NA,NA,NA,NA,NA,5,NA,NA
"Another goal is to move from Washington to Texas within the next three months.","Value",NA,NA,NA,NA,NA,4.22222222222222,NA,NA
"Another goal of mine is to start working out more. I'll start by going out on walks and hopefully within a few months have a full weekly workout routine so that I can get into shape.","Clarity",NA,6.33333333333333,6.66666666666667,5.66666666666667,NA,NA,NA,NA
"Another goal of mine is to start working out more. I'll start by going out on walks and hopefully within a few months have a full weekly workout routine so that I can get into shape.","Consensus",NA,2,4,3,NA,NA,NA,NA
"Another goal of mine is to start working out more. I'll start by going out on walks and hopefully within a few months have a full weekly workout routine so that I can get into shape.","External",NA,3.2,4,2.8,NA,NA,NA,NA
"Another goal of mine is to start working out more. I'll start by going out on walks and hopefully within a few months have a full weekly workout routine so that I can get into shape.","Value",NA,4.11111111111111,5.11111111111111,4,NA,NA,NA,NA
"Average $7 a day on Mturk, ongoing","Clarity",NA,NA,NA,NA,NA,5.5,6.33333333333333,NA
"Average $7 a day on Mturk, ongoing","Consensus",NA,NA,NA,NA,NA,2,1.25,NA
"Average $7 a day on Mturk, ongoing","External",NA,NA,NA,NA,NA,3.4,3.8,NA
"Average $7 a day on Mturk, ongoing","Value",NA,NA,NA,NA,NA,3.22222222222222,2.11111111111111,NA
"Be more active.","Clarity",NA,NA,NA,NA,NA,4.5,5,NA
"Be more active.","Consensus",NA,NA,NA,NA,NA,3,2.25,NA
"Be more active.","External",NA,NA,NA,NA,NA,5.6,4.4,NA
"Be more active.","Value",NA,NA,NA,NA,NA,5.55555555555556,4.88888888888889,NA
"Become proficient at conversational Italian.","Clarity",NA,NA,NA,NA,4.83333333333333,4.83333333333333,NA,NA
"Become proficient at conversational Italian.","Consensus",NA,NA,NA,NA,0.5,1.75,NA,NA
"Become proficient at conversational Italian.","External",NA,NA,NA,NA,1.2,4.4,NA,NA
"Become proficient at conversational Italian.","Value",NA,NA,NA,NA,4.55555555555556,4.33333333333333,NA,NA
"Boost networking abilities","Clarity",5.5,5.83333333333333,NA,NA,NA,NA,NA,NA
"Boost networking abilities","Consensus",1.75,2.5,NA,NA,NA,NA,NA,NA
"Boost networking abilities","External",3.2,4,NA,NA,NA,NA,NA,NA
"Boost networking abilities","Value",4.55555555555556,4.44444444444444,NA,NA,NA,NA,NA,NA
"Bring my weight down to 125 pounds by end of May.","Clarity",NA,NA,6.5,NA,NA,4.66666666666667,NA,NA
"Bring my weight down to 125 pounds by end of May.","Consensus",NA,NA,3.75,NA,NA,2.25,NA,NA
"Bring my weight down to 125 pounds by end of May.","External",NA,NA,3.75,NA,NA,6,NA,NA
"Bring my weight down to 125 pounds by end of May.","Value",NA,NA,4.55555555555556,NA,NA,5.33333333333333,NA,NA
"Build a social media presence for my print on demand business, stalled at 233 followers would like 300 by 3 months","Clarity",NA,NA,NA,NA,5.83333333333333,NA,5,NA
"Build a social media presence for my print on demand business, stalled at 233 followers would like 300 by 3 months","Consensus",NA,NA,NA,NA,0.75,NA,1,NA
"Build a social media presence for my print on demand business, stalled at 233 followers would like 300 by 3 months","External",NA,NA,NA,NA,2.2,NA,4,NA
"Build a social media presence for my print on demand business, stalled at 233 followers would like 300 by 3 months","Value",NA,NA,NA,NA,4.88888888888889,NA,3.88888888888889,NA
"Buy $500 of silver either physical or ETF's per month","Clarity",NA,NA,NA,3.83333333333333,6.33333333333333,NA,NA,NA
"Buy $500 of silver either physical or ETF's per month","Consensus",NA,NA,NA,0.75,0.75,NA,NA,NA
"Buy $500 of silver either physical or ETF's per month","External",NA,NA,NA,2.2,3.8,NA,NA,NA
"Buy $500 of silver either physical or ETF's per month","Value",NA,NA,NA,3.22222222222222,4.11111111111111,NA,NA,NA
"Buy a new 65inch 4k TV","Clarity",4.16666666666667,NA,NA,NA,6,NA,NA,NA
"Buy a new 65inch 4k TV","Consensus",0.75,NA,NA,NA,0.75,NA,NA,NA
"Buy a new 65inch 4k TV","External",2.2,NA,NA,NA,3.4,NA,NA,NA
"Buy a new 65inch 4k TV","Value",2,NA,NA,NA,1.625,NA,NA,NA
"buy another home in six months","Clarity",NA,NA,4.33333333333333,NA,NA,NA,3.66666666666667,NA
"buy another home in six months","Consensus",NA,NA,3.66666666666667,NA,NA,NA,1,NA
"buy another home in six months","External",NA,NA,3.6,NA,NA,NA,2,NA
"buy another home in six months","Value",NA,NA,4.85714285714286,NA,NA,NA,4.44444444444444,NA
"Buy more bitcoin","Clarity",NA,NA,4.83333333333333,NA,NA,NA,NA,4
"Buy more bitcoin","Consensus",NA,NA,0.75,NA,NA,NA,NA,1.75
"Buy more bitcoin","External",NA,NA,1.5,NA,NA,NA,NA,2
"Buy more bitcoin","Value",NA,NA,2.55555555555556,NA,NA,NA,NA,3.5
"By the end of the year I want to be earning $400/mo through my part time job.","Clarity",5.16666666666667,NA,NA,NA,5.5,NA,NA,NA
"By the end of the year I want to be earning $400/mo through my part time job.","Consensus",1.25,NA,NA,NA,2,NA,NA,NA
"By the end of the year I want to be earning $400/mo through my part time job.","External",1.8,NA,NA,NA,4,NA,NA,NA
"By the end of the year I want to be earning $400/mo through my part time job.","Value",2.875,NA,NA,NA,5.11111111111111,NA,NA,NA
"Clean and organize and paint my barn before the end of summer. I will also taken any items I don't need to the charity store.","Clarity",4.16666666666667,6.33333333333333,NA,NA,NA,NA,NA,NA
"Clean and organize and paint my barn before the end of summer. I will also taken any items I don't need to the charity store.","Consensus",-0.25,1.25,NA,NA,NA,NA,NA,NA
"Clean and organize and paint my barn before the end of summer. I will also taken any items I don't need to the charity store.","External",3.6,3.8,NA,NA,NA,NA,NA,NA
"Clean and organize and paint my barn before the end of summer. I will also taken any items I don't need to the charity store.","Value",3.22222222222222,4.22222222222222,NA,NA,NA,NA,NA,NA
"Closely monitor and see to it that my youngest sister successfully completes her rehabilitation program for heroin addiction","Clarity",NA,NA,NA,NA,4.83333333333333,NA,5.16666666666667,NA
"Closely monitor and see to it that my youngest sister successfully completes her rehabilitation program for heroin addiction","Consensus",NA,NA,NA,NA,2,NA,1.5,NA
"Closely monitor and see to it that my youngest sister successfully completes her rehabilitation program for heroin addiction","External",NA,NA,NA,NA,7,NA,6.4,NA
"Closely monitor and see to it that my youngest sister successfully completes her rehabilitation program for heroin addiction","Value",NA,NA,NA,NA,5.11111111111111,NA,5.11111111111111,NA
"Complete 3 rounds of boxing within VR device (Oculus) at least 4 times a week.","Clarity",NA,6.83333333333333,NA,NA,7.33333333333333,NA,NA,NA
"Complete 3 rounds of boxing within VR device (Oculus) at least 4 times a week.","Consensus",NA,-0.25,NA,NA,0.5,NA,NA,NA
"Complete 3 rounds of boxing within VR device (Oculus) at least 4 times a week.","External",NA,2.2,NA,NA,1.6,NA,NA,NA
"Complete 3 rounds of boxing within VR device (Oculus) at least 4 times a week.","Value",NA,3.77777777777778,NA,NA,3.22222222222222,NA,NA,NA
"Complete art project involving framing of old National Geographic magazines by end of May.","Clarity",NA,NA,7.2,NA,NA,NA,NA,5.83333333333333
"Complete art project involving framing of old National Geographic magazines by end of May.","Consensus",NA,NA,-1.5,NA,NA,NA,NA,0.25
"Complete art project involving framing of old National Geographic magazines by end of May.","External",NA,NA,NA,NA,NA,NA,NA,2
"Complete art project involving framing of old National Geographic magazines by end of May.","Value",NA,NA,3.6,NA,NA,NA,NA,3.375
"complete my garden","Clarity",NA,NA,NA,NA,NA,4.5,4.33333333333333,NA
"complete my garden","Consensus",NA,NA,NA,NA,NA,1.25,-0.5,NA
"complete my garden","External",NA,NA,NA,NA,NA,4.6,2,NA
"complete my garden","Value",NA,NA,NA,NA,NA,4.44444444444444,2.44444444444444,NA
"Complete some home repairs in the next 6 months","Clarity",NA,NA,NA,NA,NA,NA,4.33333333333333,3.66666666666667
"Complete some home repairs in the next 6 months","Consensus",NA,NA,NA,NA,NA,NA,2.75,2
"Complete some home repairs in the next 6 months","External",NA,NA,NA,NA,NA,NA,5.2,4.6
"Complete some home repairs in the next 6 months","Value",NA,NA,NA,NA,NA,NA,3.44444444444444,3.75
"Continue learning German on Duolingo. Earn at least 20 units every day,","Clarity",NA,NA,NA,NA,7.66666666666667,6.16666666666667,NA,NA
"Continue learning German on Duolingo. Earn at least 20 units every day,","Consensus",NA,NA,NA,NA,0.5,2.25,NA,NA
"Continue learning German on Duolingo. Earn at least 20 units every day,","External",NA,NA,NA,NA,3,4.6,NA,NA
"Continue learning German on Duolingo. Earn at least 20 units every day,","Value",NA,NA,NA,NA,4.66666666666667,4.88888888888889,NA,NA
"Continue making money on Mechanical Turk. Goal is to earn $200 a month.","Clarity",NA,7,6.16666666666667,NA,NA,NA,NA,NA
"Continue making money on Mechanical Turk. Goal is to earn $200 a month.","Consensus",NA,1.25,4.33333333333333,NA,NA,NA,NA,NA
"Continue making money on Mechanical Turk. Goal is to earn $200 a month.","External",NA,3,5.33333333333333,NA,NA,NA,NA,NA
"Continue making money on Mechanical Turk. Goal is to earn $200 a month.","Value",NA,3.22222222222222,4.5,NA,NA,NA,NA,NA
"Cut back on drinking soda/carbonated drinks.","Clarity",NA,NA,NA,5.33333333333333,NA,NA,NA,5.5
"Cut back on drinking soda/carbonated drinks.","Consensus",NA,NA,NA,3.5,NA,NA,NA,1.75
"Cut back on drinking soda/carbonated drinks.","External",NA,NA,NA,3.4,NA,NA,NA,2.2
"Cut back on drinking soda/carbonated drinks.","Value",NA,NA,NA,2.66666666666667,NA,NA,NA,3
"declutter and organize the house every week","Clarity",NA,6,NA,NA,NA,NA,5.83333333333333,NA
"declutter and organize the house every week","Consensus",NA,1.5,NA,NA,NA,NA,2,NA
"declutter and organize the house every week","External",NA,3.4,NA,NA,NA,NA,4.2,NA
"declutter and organize the house every week","Value",NA,3.88888888888889,NA,NA,NA,NA,3.44444444444444,NA
"Diversify my investment Strategy","Clarity",NA,NA,NA,4,4.66666666666667,NA,NA,NA
"Diversify my investment Strategy","Consensus",NA,NA,NA,1.5,1.75,NA,NA,NA
"Diversify my investment Strategy","External",NA,NA,NA,1.8,1,NA,NA,NA
"Diversify my investment Strategy","Value",NA,NA,NA,2.33333333333333,3.55555555555556,NA,NA,NA
"dream job","Clarity",NA,4,NA,2.75,NA,NA,NA,NA
"dream job","Consensus",NA,2.5,NA,2,NA,NA,NA,NA
"dream job","External",NA,3.2,NA,2.2,NA,NA,NA,NA
"dream job","Value",NA,6.125,NA,2.5,NA,NA,NA,NA
"Drink 64 oz water every day","Clarity",NA,NA,NA,NA,NA,NA,7,6.16666666666667
"Drink 64 oz water every day","Consensus",NA,NA,NA,NA,NA,NA,2.75,1.25
"Drink 64 oz water every day","External",NA,NA,NA,NA,NA,NA,3,2.2
"Drink 64 oz water every day","Value",NA,NA,NA,NA,NA,NA,3.22222222222222,3.25
"Earn an average of $20/week at Mechanical Turk.","Clarity",NA,NA,6.16666666666667,NA,NA,NA,NA,5.16666666666667
"Earn an average of $20/week at Mechanical Turk.","Consensus",NA,NA,4.5,NA,NA,NA,NA,1.5
"Earn an average of $20/week at Mechanical Turk.","External",NA,NA,4,NA,NA,NA,NA,3
"Earn an average of $20/week at Mechanical Turk.","Value",NA,NA,4.16666666666667,NA,NA,NA,NA,2.875
