"affordance","attainability","attractiveness_achievement","attractiveness_progress","basic_needs","clarity","commonality","conflict","connectedness","construal_level","control","difficulty","external_importance","external_motivation","ideal_motivation","identified_motivation","importance","instrumentality","intrinsic_motivation","introjected_motivation","meaningfulness","measurability","ought_motivation","social_desirability","specificity","visibility"
1,0.519302593911324,0.166016477430958,0.197795301396532,0.0642110043862001,0.568866891155103,0.0281314898136733,-0.202017954277717,0.160953417965567,0.11348929128514,0.241858280521383,-0.200746784725988,0.238695422677532,0.0346305030652858,0.106898591859188,0.170971752276798,0.296281604156498,0.201456663068165,0.243308295103127,-0.0321186593065226,0.195829783763734,0.281871395761478,0.0854678650917018,0.158352378611534,0.0948484954010624,0.216484405794611
0.519302593911324,1,0.188633410409761,0.240266238102145,0.0881530896442978,0.585493495129709,0.000188423921584811,-0.0637274583917245,0.169097850168456,0.155720470684166,0.0976519360566424,-0.289592331547836,0.230150841792312,0.109474885371277,0.106836713958926,0.178120350991608,0.414511693165757,0.201814432332982,0.231083462588636,-0.0387424645987046,0.208161366141612,0.220442240232985,0.0489482393114501,0.108647262453188,0.100124649842364,0.257716921352365
0.166016477430958,0.188633410409761,1,0.724521650997426,0.293736737612177,0.15101912479654,0.197504409688488,0.00419690255705779,0.189786872000512,0.339060559861258,0.224140447941334,0.307273233231101,0.285269220481552,0.10587341474618,0.4046142607394,0.471899378398012,0.604966923017344,0.375398002511783,0.146823431265348,0.172901293244545,0.314697723908494,0.173026354527355,0.0686029978415733,0.365312278324323,0.21120508690773,0.246846339177084
0.197795301396532,0.240266238102145,0.724521650997426,1,0.286987786399794,0.185584466234291,0.174391940088822,-0.0496025307798785,0.151232762426549,0.286658195463764,0.172723139153824,0.210106497321279,0.253339882957972,0.118467755683183,0.364737878109963,0.465961158060684,0.535552563458983,0.319563713187694,0.14184182375392,0.112782599250841,0.30968053055644,0.225120286340093,0.0706211134898329,0.351701201019673,0.216260808889807,0.246010968081532
0.0642110043862001,0.0881530896442978,0.293736737612177,0.286987786399794,1,0.0884600991347422,0.381125756937108,-0.0253801617545381,0.328253688846006,0.195128656152379,0.140227116074577,0.143268403799163,0.250973383410347,0.166316593037253,0.331326322463829,0.346439628980377,0.33858577469746,0.429325592851338,-0.0658678085603022,0.20781917880189,0.236395016941028,0.0787054640612968,0.100056308223031,0.312321679953482,0.0773594814940854,0.0931142276923355
0.568866891155103,0.585493495129709,0.15101912479654,0.185584466234291,0.0884600991347422,1,0.0187274355046658,-0.139452878567931,0.131622084548446,0.0447840406808285,0.286843077800339,-0.252886954238908,0.173496633799396,0.0402578136331805,0.118830502876073,0.181964688149143,0.325651106452816,0.20573155762477,0.188145935850268,-0.0352914243188759,0.178874306853138,0.337158488701518,0.0270122636520666,0.140377304224859,0.206089439940833,0.219993803856055
0.0281314898136733,0.000188423921584811,0.197504409688488,0.174391940088822,0.381125756937108,0.0187274355046658,1,-0.00947501093300052,0.145019428740184,0.104291068607461,0.0994142442499792,0.120016326582391,0.174359369598798,0.0958223455952882,0.191234272756562,0.252401085021262,0.216465686481397,0.244905700403903,-0.121365355872963,0.209853872318041,0.167352938290555,0.051404968272638,0.183534265735742,0.441141438468942,-0.0100015541643444,0.0527587264456074
-0.202017954277717,-0.0637274583917245,0.00419690255705779,-0.0496025307798785,-0.0253801617545381,-0.139452878567931,-0.00947501093300052,1,0.112932185925827,0.109423657552336,-0.0922129886067889,0.184648341372546,0.0661056866709637,0.172313883180491,0.0602489989700372,-0.019923058417408,0.00947470310052718,0.0415588309830681,0.0378897334798229,0.145104147509468,0.102981707399692,-0.0917943500844298,0.18870208900626,0.0191306848595212,0.00411987233186923,0.0734534308605046
0.160953417965567,0.169097850168456,0.189786872000512,0.151232762426549,0.328253688846006,0.131622084548446,0.145019428740184,0.112932185925827,1,0.0895434385384679,0.115917483843156,0.0772917033831812,0.256531008254852,0.157294043437667,0.2785503248322,0.256901786764503,0.299646160738496,0.551998793770776,0.10324029118252,0.191793018938988,0.274777990963079,0.0801940182291231,0.124412689999874,0.190042907557044,0.0647762152640565,0.133067300598634
0.11348929128514,0.155720470684166,0.339060559861258,0.286658195463764,0.195128656152379,0.0447840406808285,0.104291068607461,0.109423657552336,0.0895434385384679,1,0.0362281199713159,0.269846511976973,0.297607142401402,0.155566163136693,0.279679532937447,0.257354158618205,0.320293416004148,0.219546979435612,0.150677719905976,0.149628616157377,0.292842381454105,0.029786912712238,0.142318356963605,0.181905365346157,0.0790933866434881,0.216064339929356
